train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.793961,0.627191,0.962128,0.924776
0.794656,0.627943,0.962268,0.924869
0.795393,0.628898,0.962426,0.925009
0.796024,0.629127,0.962573,0.925091
0.796481,0.629375,0.962689,0.92518
0.79698,0.629872,0.962839,0.925316
0.797751,0.630617,0.962994,0.925469
0.798312,0.630815,0.963121,0.925576
0.798998,0.631232,0.963257,0.925654
0.799428,0.631581,0.963391,0.925758
0.800066,0.631477,0.96353,0.925829
0.801307,0.63177,0.963801,0.926035
0.80216,0.632133,0.964017,0.926181
0.803064,0.632888,0.964166,0.926321
0.803388,0.633562,0.964255,0.926449
0.804224,0.633896,0.964447,0.926597
0.804829,0.634128,0.964578,0.926775
0.805699,0.634466,0.964786,0.926975
0.806277,0.6345,0.964949,0.927066
0.807087,0.634749,0.965086,0.927207
0.807897,0.6356,0.965248,0.927356
0.808768,0.636247,0.965398,0.9274
0.809447,0.636771,0.965533,0.927475
0.810179,0.637183,0.965666,0.927544
0.810819,0.637181,0.965857,0.92771
0.811803,0.637516,0.966067,0.927813
0.812553,0.637903,0.966275,0.927959
0.813179,0.638308,0.966431,0.928034
0.813939,0.638959,0.966582,0.92814
0.814493,0.639282,0.9667,0.928237
0.815215,0.639887,0.966875,0.928408
0.816032,0.640572,0.967053,0.928622
0.816962,0.640756,0.967271,0.928703
0.817773,0.641068,0.967509,0.928853
0.818428,0.641324,0.967673,0.929008
0.819191,0.641869,0.967867,0.929183
0.819892,0.642403,0.968048,0.929378
0.820556,0.642647,0.96822,0.929523
0.821208,0.642936,0.968383,0.929657
0.821808,0.643445,0.968492,0.929741
0.822427,0.643761,0.968618,0.929887
0.823002,0.644386,0.968765,0.93001
0.823702,0.64526,0.968876,0.930185
0.824123,0.646048,0.968965,0.930292
0.824657,0.646759,0.969086,0.930368
0.825347,0.646766,0.969222,0.930412
0.825713,0.647429,0.969342,0.930536
0.826213,0.647297,0.969415,0.930535
0.826707,0.647794,0.969522,0.930611
0.82695,0.648296,0.969598,0.930712
0.827564,0.648291,0.969713,0.930727
0.828409,0.649469,0.969937,0.93089
0.828944,0.649833,0.97005,0.930956
0.829522,0.649991,0.970203,0.931025
0.830215,0.649978,0.970333,0.931089
0.830891,0.650589,0.970481,0.931226
0.831577,0.651045,0.970616,0.931374
0.832347,0.651567,0.970786,0.931508
0.833095,0.651569,0.970935,0.931525
0.833719,0.65186,0.971072,0.931616
0.834128,0.652087,0.971163,0.931699
0.834828,0.652643,0.971325,0.931834
0.835394,0.653394,0.971438,0.931936
0.835934,0.653525,0.971554,0.93204
0.836512,0.654414,0.971662,0.932207
0.836979,0.654353,0.971756,0.932226
0.837361,0.654842,0.971833,0.932317
0.837904,0.655486,0.971921,0.932448
0.83855,0.656574,0.972049,0.932649
0.838894,0.656814,0.972132,0.932718
0.839285,0.657139,0.972228,0.932772
0.839925,0.657751,0.972335,0.932791
0.840448,0.658121,0.972449,0.932924
0.840918,0.658531,0.972543,0.932999
0.841435,0.658798,0.972655,0.933121
0.841904,0.65881,0.972762,0.933185
0.842427,0.659127,0.972881,0.933297
0.843227,0.660029,0.973069,0.933447
0.843631,0.660457,0.973161,0.933561
0.844264,0.660894,0.973285,0.933643
0.845072,0.661494,0.973476,0.93381
0.845627,0.661371,0.973605,0.933919
0.846385,0.661624,0.973745,0.933985
0.846646,0.661884,0.973823,0.934079
0.847221,0.661926,0.973968,0.934133
0.847807,0.662474,0.974066,0.934194
0.848494,0.662348,0.974206,0.934246
0.848905,0.662758,0.974308,0.934337
0.849435,0.662758,0.974414,0.934365
0.8499,0.662818,0.974514,0.934473
0.850444,0.663162,0.974665,0.934591
0.851085,0.66326,0.974807,0.934621
0.851625,0.663426,0.97493,0.93474
0.852059,0.663778,0.975021,0.934798
0.852522,0.663854,0.975114,0.934845
0.85297,0.663994,0.975223,0.934937
0.85343,0.664371,0.975332,0.935025
0.854116,0.664355,0.975485,0.935063
0.85441,0.664179,0.975564,0.93507
0.854921,0.664491,0.975686,0.935134
0.855437,0.66492,0.975784,0.93521
0.855833,0.665352,0.975835,0.93522
0.856351,0.665275,0.975935,0.93527
0.85691,0.665689,0.976031,0.935304
0.857195,0.665981,0.976082,0.935347
0.857506,0.665955,0.976151,0.935416
0.857818,0.666049,0.976224,0.935471
0.858432,0.666355,0.976347,0.935598
0.85899,0.666483,0.976459,0.935646
0.85972,0.666681,0.976596,0.935728
0.859979,0.666939,0.97666,0.935783
0.860338,0.667031,0.976713,0.935838
0.860682,0.666775,0.976801,0.935824
