train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.508189,0.448634,0.826061,0.800367
0.557299,0.48098,0.856669,0.825626
0.573831,0.506512,0.86259,0.832569
0.595023,0.525314,0.866491,0.836043
0.602643,0.532287,0.870151,0.839636
0.624718,0.544749,0.876402,0.846474
0.632328,0.545905,0.879262,0.846907
0.639384,0.547527,0.882937,0.848704
0.64184,0.54983,0.884246,0.85033
0.64328,0.546042,0.884742,0.849366
0.647006,0.549774,0.885461,0.852562
0.648382,0.559269,0.886004,0.852754
0.653248,0.559795,0.887209,0.854436
0.655314,0.561589,0.887779,0.855047
0.654025,0.559594,0.888066,0.854595
0.657598,0.560891,0.889217,0.855182
0.657155,0.556528,0.889632,0.854661
0.661097,0.564044,0.890721,0.856524
0.662083,0.564018,0.891661,0.856507
0.665168,0.566468,0.892224,0.857172
0.666513,0.563904,0.892695,0.857049
0.670198,0.564082,0.893709,0.857567
0.671854,0.563312,0.894645,0.857845
0.674129,0.566265,0.895472,0.858794
0.674689,0.567179,0.895974,0.858914
0.677175,0.567991,0.897039,0.859792
0.6779,0.568599,0.897773,0.859907
0.680731,0.569575,0.898989,0.860434
0.681751,0.571134,0.899549,0.861131
0.683046,0.571609,0.900217,0.861064
0.684998,0.572894,0.90068,0.861726
0.686933,0.57363,0.901275,0.861994
0.689368,0.57581,0.902343,0.862633
0.690654,0.576403,0.902915,0.862988
0.69201,0.577234,0.903537,0.863273
0.692266,0.578273,0.903715,0.863759
0.694592,0.579878,0.904501,0.86445
0.695636,0.580331,0.905053,0.864819
0.698124,0.58317,0.906032,0.865901
0.699955,0.585733,0.906651,0.866807
0.701779,0.586622,0.907418,0.86778
0.702854,0.587491,0.907796,0.868213
0.703572,0.587651,0.908102,0.86843
0.704907,0.588342,0.908705,0.868723
0.706971,0.590159,0.909255,0.869336
0.708349,0.590181,0.909598,0.86957
0.709318,0.590832,0.910016,0.869827
0.709839,0.590891,0.910312,0.87011
0.710741,0.592553,0.910694,0.870325
0.711823,0.592258,0.911177,0.870792
0.713093,0.593579,0.911639,0.871208
0.713675,0.595475,0.911914,0.871612
0.715975,0.59761,0.912605,0.871825
0.718014,0.598874,0.913311,0.872184
0.720003,0.599423,0.913749,0.872401
0.721053,0.599242,0.91435,0.872687
0.722389,0.59991,0.914962,0.873328
0.723505,0.599797,0.915442,0.873437
0.72461,0.60139,0.915935,0.87378
0.725728,0.601923,0.916403,0.874013
0.726764,0.60142,0.916889,0.874184
0.728387,0.601838,0.917517,0.874626
0.729483,0.602128,0.918001,0.874876
0.730703,0.602833,0.918638,0.875191
0.731685,0.60372,0.919211,0.875503
0.733266,0.604803,0.919936,0.875806
0.734267,0.60548,0.920422,0.875906
0.735012,0.606218,0.92081,0.876016
0.735824,0.607265,0.921161,0.876193
0.736603,0.607814,0.921579,0.87629
0.738152,0.608517,0.922015,0.876586
0.739583,0.608487,0.922489,0.876888
0.741245,0.609982,0.923178,0.877481
0.742921,0.610443,0.92368,0.877767
0.744208,0.610323,0.92409,0.877942
0.745624,0.611055,0.924618,0.878316
0.746561,0.612041,0.925041,0.87864
0.747515,0.611868,0.925514,0.878625
0.748607,0.61269,0.925832,0.879016
0.74965,0.613196,0.926159,0.879152
0.751198,0.614263,0.926754,0.879693
