train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.46785,0.428755,0.852614,0.836246
0.525908,0.466392,0.874549,0.855753
0.539746,0.481372,0.879313,0.862048
0.54795,0.486482,0.881884,0.864168
0.551922,0.485051,0.885521,0.863776
0.56938,0.503144,0.88864,0.868581
0.580362,0.515618,0.891783,0.870406
0.583089,0.515055,0.89281,0.870891
0.587228,0.522965,0.893884,0.871505
0.588269,0.518961,0.895672,0.873063
0.594923,0.527101,0.896972,0.873953
0.598595,0.527942,0.898094,0.873804
0.605198,0.532955,0.899149,0.87484
0.608094,0.532906,0.901446,0.876191
0.608654,0.532918,0.902762,0.878018
0.612616,0.537324,0.903928,0.879271
0.618513,0.537818,0.90437,0.880044
0.617657,0.53417,0.905462,0.880554
0.618173,0.534952,0.906425,0.881303
0.621786,0.535926,0.907647,0.882131
0.62287,0.536163,0.907819,0.882002
0.625832,0.537469,0.908356,0.882765
0.636358,0.539555,0.910139,0.883794
0.637855,0.539348,0.910759,0.884169
0.637372,0.538438,0.91122,0.884341
0.638858,0.539393,0.91161,0.884379
0.641626,0.542438,0.912463,0.884974
0.643244,0.543026,0.912876,0.884964
0.646201,0.544124,0.913637,0.885449
0.645998,0.54356,0.913745,0.885614
0.647623,0.543596,0.914011,0.885898
0.649547,0.543089,0.914369,0.886221
0.650681,0.543473,0.914653,0.886476
0.652764,0.545547,0.915406,0.887142
0.654681,0.548072,0.915975,0.887832
0.655365,0.547899,0.916778,0.888491
0.657354,0.550187,0.917341,0.889
0.657997,0.54979,0.917838,0.889371
0.65984,0.55085,0.918534,0.889695
0.660969,0.551756,0.919177,0.890263
0.66426,0.552921,0.919707,0.890758
0.666088,0.554391,0.92057,0.891403
0.667826,0.553697,0.921299,0.891835
0.670189,0.553594,0.921825,0.892182
0.671448,0.552519,0.922234,0.892299
0.674252,0.55346,0.92286,0.892794
0.67715,0.555634,0.923611,0.893475
0.679981,0.558848,0.924416,0.894152
0.681352,0.558995,0.924954,0.894034
0.681545,0.560259,0.925385,0.894632
0.683902,0.560654,0.926048,0.894973
0.685867,0.561421,0.926583,0.895046
0.68795,0.561654,0.927164,0.895279
0.690256,0.561993,0.927624,0.895503
0.691567,0.562713,0.92811,0.895895
0.693851,0.565314,0.928748,0.896306
0.695304,0.567106,0.929249,0.89676
0.696992,0.568674,0.929747,0.89708
0.698084,0.569601,0.930117,0.897418
0.699389,0.570047,0.930676,0.897686
0.700784,0.570986,0.931178,0.897924
0.701848,0.570299,0.931611,0.898074
0.703952,0.573254,0.932104,0.898415
0.705283,0.573326,0.932609,0.898513
0.706407,0.574059,0.932973,0.898757
0.70834,0.575754,0.933391,0.899247
0.709174,0.576489,0.933769,0.899588
0.710166,0.576954,0.934186,0.899755
0.711451,0.576939,0.934609,0.900026
0.713193,0.577298,0.935077,0.900255
0.714506,0.578297,0.935444,0.900473
0.715485,0.578409,0.93595,0.900629
0.715934,0.579156,0.936154,0.900923
0.717107,0.579561,0.936499,0.90106
0.718072,0.581982,0.936743,0.901405
0.719526,0.582581,0.937124,0.901586
0.721068,0.584273,0.937577,0.901921
0.722237,0.584983,0.938047,0.902156
0.724482,0.58625,0.938523,0.902525
0.726176,0.587583,0.93892,0.902836
0.727647,0.589847,0.939364,0.903074
0.729363,0.59003,0.939774,0.903277
0.730461,0.590451,0.940145,0.90331
0.731294,0.590861,0.940403,0.903596
0.732015,0.59127,0.940713,0.903769
0.732961,0.593187,0.941087,0.904111
0.734132,0.594051,0.941472,0.904292
