train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.506285,0.420069,0.813286,0.764874
0.568662,0.489195,0.84996,0.82278
0.595236,0.509498,0.865464,0.837527
0.604987,0.51294,0.869753,0.836459
0.620399,0.52218,0.878126,0.844298
0.635314,0.538944,0.880672,0.849441
0.641515,0.537021,0.882904,0.849042
0.646869,0.546837,0.883472,0.849219
0.650253,0.542656,0.884849,0.850041
0.652696,0.547928,0.884499,0.852567
0.656415,0.548463,0.88656,0.854026
0.659885,0.555832,0.888492,0.856009
0.661039,0.554256,0.888693,0.856003
0.664077,0.553776,0.889788,0.856951
0.666041,0.5573,0.890441,0.857481
0.668035,0.558036,0.891077,0.857609
0.669512,0.559082,0.891913,0.858332
0.670825,0.558796,0.892757,0.859234
0.675761,0.563954,0.894065,0.8602
0.678615,0.566819,0.894552,0.860947
0.6813,0.570037,0.896337,0.86281
0.681458,0.571083,0.896611,0.86301
0.683273,0.572933,0.897148,0.864061
0.685837,0.575005,0.898143,0.865128
0.686214,0.574267,0.898615,0.865288
0.688829,0.57296,0.899555,0.865743
0.6898,0.57115,0.899928,0.865752
0.690185,0.571402,0.900291,0.866021
0.691317,0.571164,0.900753,0.866295
0.692651,0.571506,0.901428,0.86697
0.69439,0.571587,0.902168,0.867299
0.695164,0.571841,0.902559,0.867355
0.695602,0.572845,0.902994,0.867595
0.696375,0.571628,0.9035,0.867404
0.696868,0.571058,0.903749,0.867366
0.697856,0.570048,0.904316,0.867549
0.699605,0.570179,0.905037,0.867876
0.701168,0.570965,0.905704,0.868057
0.702686,0.571563,0.906175,0.868511
0.703985,0.571928,0.906646,0.868773
0.704658,0.572078,0.907179,0.869069
0.705469,0.571453,0.907515,0.86942
0.706375,0.572822,0.90769,0.869816
0.707718,0.574304,0.908233,0.870231
0.707335,0.57486,0.908377,0.870242
0.708694,0.574819,0.908868,0.870233
0.709547,0.575027,0.909319,0.870751
0.710684,0.576318,0.909797,0.871268
0.712902,0.577453,0.910696,0.871572
0.713805,0.578241,0.91139,0.87213
0.714234,0.578951,0.911755,0.872478
0.71617,0.582117,0.912196,0.873271
0.717457,0.584053,0.912864,0.87383
0.719588,0.584758,0.91351,0.873991
0.720644,0.586823,0.914021,0.874477
0.721197,0.587548,0.914204,0.874726
0.723314,0.588098,0.915152,0.875493
0.72419,0.589111,0.915421,0.876043
0.725654,0.589995,0.915733,0.876246
0.726683,0.591584,0.916133,0.876477
0.728055,0.593395,0.916631,0.876643
0.730093,0.594369,0.917355,0.877095
0.730785,0.595314,0.917751,0.877294
0.732481,0.596543,0.918363,0.877617
0.733305,0.597291,0.918762,0.877852
0.73427,0.597884,0.919346,0.87817
0.735681,0.599132,0.919791,0.878386
0.736401,0.599497,0.920134,0.87855
0.736991,0.599784,0.92041,0.878573
0.738154,0.601181,0.920884,0.878746
0.73915,0.601754,0.921305,0.879122
0.739699,0.602579,0.921637,0.879293
0.740686,0.603592,0.921989,0.879325
0.741297,0.604507,0.922272,0.879716
0.742374,0.605116,0.922576,0.879915
0.744012,0.605726,0.923219,0.880579
0.745025,0.607038,0.923575,0.8809
0.745552,0.607837,0.92395,0.881293
0.746517,0.607759,0.924266,0.881165
0.748076,0.608335,0.924705,0.881211
0.748692,0.60893,0.925153,0.881547
0.749673,0.609576,0.925524,0.881823
0.750128,0.609961,0.925817,0.881909
0.751502,0.610698,0.926402,0.882177
0.751832,0.611237,0.92655,0.88235
0.752626,0.611692,0.926782,0.88235
0.753656,0.612496,0.927376,0.882542
0.754383,0.612921,0.92778,0.882826
0.755136,0.614024,0.928058,0.883099
0.756378,0.614716,0.928536,0.883434
0.757202,0.615648,0.928908,0.883674
0.758854,0.616434,0.929532,0.884091
0.759993,0.616462,0.929956,0.8842
0.760905,0.617272,0.930179,0.884434
0.761893,0.617706,0.930558,0.884525
0.762722,0.617644,0.930947,0.884626
0.76342,0.618098,0.931259,0.884921
0.764619,0.618085,0.931618,0.884914
0.765401,0.618459,0.931943,0.8851
0.766209,0.61779,0.93232,0.885098
0.767235,0.618843,0.932733,0.885545
0.768225,0.620143,0.933146,0.885933
0.769494,0.620273,0.933567,0.886153
0.77054,0.620576,0.933861,0.88652
0.771255,0.620501,0.934128,0.886638
0.771968,0.621209,0.934431,0.88692
0.772994,0.621691,0.934751,0.887269
0.773673,0.622161,0.93492,0.887453
0.77469,0.623178,0.935284,0.887722
0.775534,0.62421,0.935628,0.887938
0.77635,0.624748,0.935959,0.888286
0.776917,0.625043,0.936152,0.888369
0.777269,0.626036,0.936277,0.888565
0.778124,0.626579,0.936496,0.888711
0.778509,0.627122,0.936702,0.888991
0.77963,0.628243,0.937107,0.889424
0.780413,0.628746,0.937521,0.889508
0.780789,0.629246,0.93773,0.889647
0.781899,0.629752,0.938067,0.889912
0.783003,0.630484,0.938352,0.890212
0.783949,0.631353,0.938789,0.890736
0.785098,0.631792,0.939115,0.890979
0.786089,0.633164,0.939498,0.891261
0.787049,0.634066,0.939839,0.891605
0.788017,0.634365,0.940183,0.891873
0.789097,0.635073,0.94055,0.892049
0.790494,0.635002,0.940923,0.892151
0.791197,0.635137,0.941201,0.892148
0.791813,0.635202,0.941507,0.89236
0.792548,0.635245,0.941786,0.892575
0.793192,0.636021,0.941985,0.892787
0.7942,0.63689,0.94225,0.893086
0.794937,0.637634,0.942486,0.893334
0.795682,0.638146,0.942804,0.893503
0.796149,0.638395,0.943013,0.893683
0.797155,0.63915,0.943281,0.893875
0.797647,0.639188,0.943493,0.894013
0.798827,0.640505,0.943892,0.894475
0.799534,0.641317,0.944148,0.894711
0.80014,0.641857,0.944417,0.894922
0.800606,0.642561,0.944577,0.895155
0.801611,0.643095,0.944816,0.895334
0.802219,0.643451,0.945086,0.8955
0.803073,0.644087,0.945385,0.895711
0.803687,0.644621,0.945574,0.895823
0.8046,0.644949,0.945904,0.896306
0.805072,0.645604,0.946146,0.896549
0.805768,0.646937,0.946373,0.896929
0.80627,0.646994,0.946625,0.897024
0.806925,0.6473,0.946869,0.897175
0.807411,0.647596,0.947089,0.897367
0.808199,0.647985,0.947318,0.897648
0.808537,0.648404,0.947499,0.897817
0.809188,0.648829,0.947739,0.897898
0.809995,0.649171,0.94797,0.898155
0.810642,0.649908,0.94819,0.8984
0.811548,0.650891,0.948398,0.898508
0.812204,0.651582,0.948622,0.898716
0.813052,0.651708,0.948953,0.899017
0.813773,0.651701,0.949252,0.899194
0.814599,0.651979,0.949547,0.899298
0.815262,0.653091,0.949742,0.899489
0.816478,0.65343,0.950135,0.899627
0.816959,0.65382,0.950329,0.899756
0.817617,0.654365,0.950534,0.899894
0.818016,0.654949,0.950673,0.90003
0.818488,0.655099,0.95091,0.90013
0.81889,0.655716,0.951073,0.900359
0.819664,0.656312,0.951302,0.900582
0.820335,0.656397,0.951466,0.900683
0.821104,0.656439,0.951795,0.900977
0.821819,0.656563,0.952059,0.901156
0.822772,0.657276,0.95237,0.901465
0.823324,0.657701,0.952566,0.901617
0.824151,0.657993,0.952786,0.901768
0.824563,0.658184,0.952975,0.902
0.825123,0.658707,0.953158,0.902164
0.825581,0.659115,0.953314,0.902304
0.826413,0.660101,0.953531,0.902491
0.827235,0.660085,0.953806,0.902624
0.827785,0.660241,0.95398,0.902812
0.828192,0.660635,0.954168,0.902924
0.828737,0.660591,0.954361,0.90296
0.829426,0.660913,0.954569,0.903079
0.83035,0.661008,0.954844,0.90312
0.830808,0.661416,0.955024,0.903226
0.831543,0.661311,0.955317,0.903293
0.832117,0.661772,0.955558,0.903441
0.832791,0.662683,0.955814,0.903715
0.833285,0.662713,0.955963,0.903739
0.833877,0.66304,0.956155,0.903847
0.834477,0.663789,0.956359,0.904022
0.834858,0.66424,0.956484,0.904161
0.835287,0.665016,0.956601,0.904316
0.835976,0.665132,0.956822,0.904405
0.836417,0.665459,0.956985,0.904424
0.837084,0.665882,0.957176,0.90454
0.837772,0.666367,0.957402,0.904765
0.838205,0.666326,0.957545,0.904732
0.838895,0.666647,0.957788,0.904833
0.839397,0.66673,0.957944,0.904908
0.839856,0.667083,0.958088,0.905
0.840187,0.667586,0.958263,0.905154
0.840695,0.668053,0.958418,0.905319
0.841116,0.668221,0.958541,0.905423
0.841414,0.667901,0.958661,0.905424
0.841961,0.66816,0.958829,0.905563
0.842257,0.668733,0.958961,0.905623
0.842804,0.669071,0.959133,0.905639
0.843187,0.66893,0.959328,0.905647
0.843787,0.669077,0.959555,0.905902
0.84446,0.669745,0.959735,0.906014
0.844943,0.670243,0.959898,0.906159
0.845654,0.670572,0.960072,0.906289
0.845928,0.670871,0.960171,0.906365
0.846338,0.671112,0.960291,0.906421
0.846523,0.671323,0.96035,0.906549
0.846864,0.671637,0.960466,0.906682
0.847469,0.671946,0.960659,0.906856
0.847961,0.672224,0.960874,0.906982
0.848261,0.672716,0.960933,0.907072
0.848593,0.673117,0.961053,0.907212
0.849085,0.673118,0.961222,0.907285
0.849511,0.67348,0.96136,0.9074
0.8502,0.673564,0.961568,0.907538
0.850543,0.673667,0.961671,0.907652
0.851108,0.674056,0.961826,0.907833
0.85137,0.674582,0.961894,0.907944
0.851719,0.67506,0.962012,0.908055
0.852236,0.675634,0.962189,0.90832
0.852405,0.675852,0.962253,0.908417
0.852966,0.676232,0.962423,0.908589
0.853236,0.676394,0.962513,0.908633
0.853535,0.676633,0.962628,0.90867
0.854136,0.676897,0.962842,0.908815
0.854549,0.676958,0.962957,0.908912
0.854898,0.677135,0.963059,0.908908
0.855273,0.67708,0.963159,0.908868
0.855403,0.67719,0.963225,0.908955
0.855714,0.677769,0.963314,0.909111
0.856156,0.677839,0.963441,0.909215
0.8564,0.678438,0.963544,0.909329
0.857017,0.678659,0.963746,0.909369
0.857208,0.678742,0.963856,0.909384
0.857523,0.679477,0.963949,0.909537
0.857672,0.679891,0.96401,0.909744
0.858161,0.680664,0.964185,0.909974
0.858585,0.680775,0.964296,0.910081
0.858731,0.680903,0.96434,0.910139
0.859227,0.681161,0.964485,0.910281
0.859674,0.681568,0.964595,0.910422
0.860129,0.682204,0.964732,0.910587
0.860381,0.682355,0.964807,0.910705
0.860743,0.683004,0.964905,0.910808
0.861257,0.683313,0.965043,0.910946
0.861641,0.683559,0.965181,0.911059
0.861774,0.683793,0.965238,0.911188
0.862209,0.684031,0.965371,0.911297
0.862827,0.684137,0.96555,0.911363
0.86301,0.684371,0.965603,0.9114
0.863572,0.68464,0.965806,0.911551
0.863851,0.684852,0.965887,0.911605
0.864349,0.684904,0.96603,0.911639
0.864739,0.685189,0.966137,0.91172
0.864967,0.685531,0.966206,0.911814
0.865197,0.685617,0.966291,0.911904
0.865533,0.685896,0.966382,0.912043
0.865912,0.686153,0.966485,0.912098
0.866341,0.686462,0.966624,0.912163
0.866722,0.686542,0.966744,0.912202
0.867,0.686782,0.966807,0.912236
0.867177,0.686807,0.966895,0.912224
0.867538,0.687026,0.967011,0.912315
0.867708,0.687322,0.967074,0.912412
0.868012,0.68738,0.967173,0.912482
0.868333,0.687684,0.967274,0.912561
0.868758,0.68783,0.967374,0.912575
0.869132,0.688221,0.967461,0.912647
0.869391,0.688738,0.967542,0.912785
0.869583,0.688997,0.967591,0.912893
0.86973,0.689416,0.967639,0.912989
0.870063,0.689617,0.967736,0.913037
0.870332,0.690001,0.967814,0.913211
0.870713,0.690418,0.967918,0.913332
0.871273,0.690335,0.968099,0.91335
0.871625,0.690476,0.968202,0.91343
0.872112,0.69078,0.968356,0.913471
0.872361,0.690849,0.968422,0.913472
0.872473,0.690733,0.968456,0.913495
0.872611,0.690883,0.968517,0.913545
0.872826,0.690813,0.968594,0.91362
0.873045,0.691243,0.968654,0.913703
0.873333,0.691388,0.968763,0.913707
0.873887,0.691569,0.9689,0.913728
0.874232,0.691823,0.968985,0.913758
0.874659,0.691913,0.969137,0.913861
0.875176,0.692048,0.969278,0.913952
0.875286,0.691996,0.969329,0.913978
0.8754,0.692035,0.969378,0.914
0.8755,0.691874,0.969417,0.914015
0.875833,0.692525,0.969524,0.91414
